0:0:0:0:0:0:0:1 - - [31/Mar/2021:18:28:57 -0500] "GET /EventRegistration/admin/events.jsp HTTP/1.1" 200 4202
0:0:0:0:0:0:0:1 - - [31/Mar/2021:18:29:03 -0500] "GET /EventRegistration/admin/index.jsp HTTP/1.1" 200 3363
0:0:0:0:0:0:0:1 - - [31/Mar/2021:18:29:04 -0500] "GET /EventRegistration/admin/events.jsp HTTP/1.1" 200 4202
0:0:0:0:0:0:0:1 - - [31/Mar/2021:18:44:25 -0500] "GET /EventRegistration/index.jsp HTTP/1.1" 200 6976
0:0:0:0:0:0:0:1 - - [31/Mar/2021:18:44:26 -0500] "POST /EventRegistration/eventpage HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [31/Mar/2021:18:44:30 -0500] "GET /EventRegistration/event_page.jsp HTTP/1.1" 200 4118
0:0:0:0:0:0:0:1 - - [31/Mar/2021:18:44:33 -0500] "POST /EventRegistration/addtocart HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [31/Mar/2021:18:44:35 -0500] "POST /EventRegistration/addtocart HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [31/Mar/2021:18:44:36 -0500] "GET /EventRegistration/cart-items.jsp HTTP/1.1" 200 4250
0:0:0:0:0:0:0:1 - - [31/Mar/2021:18:44:36 -0500] "GET /EventRegistration/images/events/Wichita_State_University_Header.jpg HTTP/1.1" 200 99036
0:0:0:0:0:0:0:1 - - [31/Mar/2021:19:14:16 -0500] "POST /EventRegistration/addtocart HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [31/Mar/2021:19:14:17 -0500] "POST /EventRegistration/addtocart HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [31/Mar/2021:19:14:18 -0500] "GET /EventRegistration/cart-items.jsp HTTP/1.1" 200 4250
0:0:0:0:0:0:0:1 - - [31/Mar/2021:19:39:30 -0500] "POST /EventRegistration/addtocart HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [31/Mar/2021:19:39:31 -0500] "GET /EventRegistration/cart-items.jsp HTTP/1.1" 200 4250
